ticker,year,annual_return_pct
ADVANC,2016,-7.006364746347781
ADVANC,2017,25.505573438606554
ADVANC,2018,-7.02010301412953
ADVANC,2019,23.677346365094976
ADVANC,2020,-10.752992778735459
ADVANC,2021,39.221982397478406
ADVANC,2022,-8.185778002411237
ADVANC,2023,15.649643960791494
ADVANC,2024,36.7119219467547
ADVANC,2025,15.095576761863505
ADVANC,2026,16.500116274303032
AOT,2016,7.120082838330943
AOT,2017,66.5428074413482
AOT,2018,-6.69538780828346
AOT,2019,9.1470035736128
AOT,2020,-11.44816491583972
AOT,2021,2.5209995969313725
AOT,2022,17.647063193302515
AOT,2023,-19.04286989147125
AOT,2024,0.8668244004198078
AOT,2025,-2.611570674301311
AOT,2026,27.363184079601986
AWC,2019,-3.305795294123759
AWC,2020,-14.54657780414632
AWC,2021,0.8695665025280075
AWC,2022,28.85553619092647
AWC,2023,-39.82726620259612
AWC,2024,-10.522169570918493
AWC,2025,-30.543566338791006
AWC,2026,32.47527456702728
BANPU,2016,59.31940992997775
BANPU,2017,3.525025238493984
BANPU,2018,-32.70421595239734
BANPU,2019,-24.670478966929377
BANPU,2020,16.374028335936707
BANPU,2021,24.457512557636065
BANPU,2022,30.316671217413017
BANPU,2023,-35.080483242377525
BANPU,2024,3.496834109029745
BANPU,2025,3.666947969833223
BANPU,2026,11.852841591460429
BBL,2016,8.758632743306238
BBL,2017,19.959340089260103
BBL,2018,1.2937374924343548
BBL,2019,-23.03829189475246
BBL,2020,-14.099058340838166
BBL,2021,10.164334836948296
BBL,2022,12.90351467569295
BBL,2023,1.8629997759546768
BBL,2024,12.597807557638996
BBL,2025,16.877627806474106
BBL,2026,34.26054163958794
BCP,2016,21.310887544195367
BCP,2017,22.391615248925767
BCP,2018,-19.92399494062198
BCP,2019,-10.103436926344244
BCP,2020,-16.556981444637298
BCP,2021,10.235675718011517
BCP,2022,21.33194553056519
BCP,2023,24.4830279705617
BCP,2024,-9.733660762696006
BCP,2025,-23.683730129159674
BCP,2026,44.515503728909934
BDMS,2016,6.700648272009646
BDMS,2017,-4.370230145464371
BDMS,2018,16.557326196121892
BDMS,2019,12.20096144091707
BDMS,2020,-15.311010828178095
BDMS,2021,15.23877689678368
BDMS,2022,31.84831615855803
BDMS,2023,-4.494835355565707
BDMS,2024,-8.689440652823844
BDMS,2025,-15.013979902634889
BDMS,2026,1.4442670953688452
BEM,2016,42.08635709692636
BEM,2017,10.9774236383563
BEM,2018,27.212834323164614
BEM,2019,6.23620474781903
BEM,2020,-23.787541357082233
BEM,2021,5.010226277758356
BEM,2022,20.641004564684252
BEM,2023,-16.969880449730823
BEM,2024,-1.7129973122347097
BEM,2025,-18.725674622197943
BEM,2026,30.18518869441891
BH,2016,-16.70286525511794
BH,2017,7.041418954707912
BH,2018,-2.9528915304698256
BH,2019,-19.53556074965589
BH,2020,-7.740477414860825
BH,2021,15.058503145232628
BH,2022,53.04049803691895
BH,2023,3.976679234312819
BH,2024,-15.027968401028524
BH,2025,-10.060142681287676
BH,2026,17.325907902178763
BJC,2016,65.13225539729595
BJC,2017,33.59278483125989
BJC,2018,-10.857939497949442
BJC,2019,-12.622247732260883
BJC,2020,-13.31571024200099
BJC,2021,-4.798323065747711
BJC,2022,13.221303790929873
BJC,2023,-32.81679441112024
BJC,2024,1.6269115739136142
BJC,2025,-33.264258261034676
BJC,2026,4.704894921831904
CCET,2016,-18.75786558292353
CCET,2017,9.122517689899068
CCET,2018,-34.07312688423805
CCET,2019,14.832532760433903
CCET,2020,25.97838630968081
CCET,2021,50.404249551717605
CCET,2022,-14.657461213095091
CCET,2023,-1.5397265520345704
CCET,2024,295.56515735159456
CCET,2025,-38.94576178702339
CCET,2026,86.4373182688573
COM7,2016,108.92242666403055
COM7,2017,41.5379260136931
COM7,2018,-9.229663093147423
COM7,2019,78.8124086011586
COM7,2020,50.026838932440995
COM7,2021,91.57162237330763
COM7,2022,-11.250042882759924
COM7,2023,-21.98243841364178
COM7,2024,28.38257226060177
COM7,2025,-7.142221266651017
COM7,2026,44.02764690854048
CPALL,2016,56.41806529896112
CPALL,2017,29.359179521684343
CPALL,2018,-12.689175561406806
CPALL,2019,-5.612477278066297
CPALL,2020,-16.143175753367387
CPALL,2021,4.562479336529401
CPALL,2022,9.770468689497601
CPALL,2023,-14.80262561721185
CPALL,2024,8.56229097658494
CPALL,2025,-14.08297858168346
CPALL,2026,12.111561521160773
CPF,2016,56.49149475251818
CPF,2017,-12.671375222169711
CPF,2018,6.716970414025036
CPF,2019,3.039694232934398
CPF,2020,-8.394067272231299
CPF,2021,-2.9721307933595065
CPF,2022,0.8090149236276378
CPF,2023,-15.499390322924011
CPF,2024,24.82753619543534
CPF,2025,5.631249408942507
CPF,2026,7.67494428306017
CPN,2016,28.458020114454484
CPN,2017,53.14472617828343
CPN,2018,-8.389851270782799
CPN,2019,-20.749395874534105
CPN,2020,-20.18877640152973
CPN,2021,16.772323941067203
CPN,2022,32.280316300582214
CPN,2023,-0.01887612830524521
CPN,2024,-9.461892963811191
CPN,2025,8.722069049469772
CPN,2026,23.593590063795155
CRC,2020,-2.380944549923858
CRC,2021,5.2425707627151485
CRC,2022,37.077150288638336
CRC,2023,-2.5121552713056605
CRC,2024,4.02979328721651
CRC,2025,-42.44175987810189
CRC,2026,24.836309577263727
DELTA,2016,6.918463598838387
DELTA,2017,-11.597393375074173
DELTA,2018,-6.675873814800159
DELTA,2019,-20.499500020676543
DELTA,2020,809.8258131301941
DELTA,2021,-21.33026396502834
DELTA,2022,140.18898505733551
DELTA,2023,-1.8025823507808347
DELTA,2024,94.93136236247581
DELTA,2025,38.07144330967098
DELTA,2026,46.67230056362841
EGCO,2016,23.852634131401174
EGCO,2017,10.285886674593181
EGCO,2018,18.533775278946287
EGCO,2019,28.019153455219524
EGCO,2020,-35.050910252212745
EGCO,2021,2.091586572938664
EGCO,2022,5.299408095331715
EGCO,2023,-23.020687454480495
EGCO,2024,-6.108675213729631
EGCO,2025,8.751607238030035
EGCO,2026,15.184316299018663
GPSC,2016,70.44214022517752
GPSC,2017,107.9282810810716
GPSC,2018,-28.54015877539865
GPSC,2019,56.414650066496705
GPSC,2020,-10.516780584571073
GPSC,2021,15.649700184272497
GPSC,2022,-5.173986206618652
GPSC,2023,-28.7415302726153
GPSC,2024,-20.898207495493736
GPSC,2025,20.42796794765056
GPSC,2026,56.870041006025616
GULF,2025,-14.79591308578586
GULF,2026,52.372278880385736
HMPRO,2016,54.764712707120644
HMPRO,2017,32.33445943251907
HMPRO,2018,9.53424969089074
HMPRO,2019,4.8632333257348614
HMPRO,2020,-4.0262853053841585
HMPRO,2021,8.283864439389689
HMPRO,2022,12.651039749219706
HMPRO,2023,-15.831432553743586
HMPRO,2024,-6.9957424424040955
HMPRO,2025,-20.176496585817162
HMPRO,2026,-2.976586820860816
IVL,2016,62.27956559633723
IVL,2017,55.48766455806313
IVL,2018,-0.4060955164476576
IVL,2019,-24.452388448336016
IVL,2020,33.46595580563883
IVL,2021,26.217489580334963
IVL,2022,-11.384190454257602
IVL,2023,-30.115670386372773
IVL,2024,8.777404285874347
IVL,2025,-27.430900230284617
IVL,2026,21.789756431030515
KBANK,2016,7.23152587027831
KBANK,2017,25.639052085351686
KBANK,2018,-17.908127075959822
KBANK,2019,-22.872540489529914
KBANK,2020,-15.783187522002018
KBANK,2021,14.371866697445057
KBANK,2022,0.7721343624240484
KBANK,2023,-4.0624671124713245
KBANK,2024,37.36065930432992
KBANK,2025,31.31556559439812
KBANK,2026,32.95454545454546
KKP,2016,62.131538625270785
KKP,2017,51.606297938483216
KKP,2018,-13.256116179721522
KKP,2019,2.8807228522089945
KKP,2020,-19.382343299137407
KKP,2021,13.38728256659305
KKP,2022,12.097338730220631
KKP,2023,-22.944324830043726
KKP,2024,14.462135639343533
KKP,2025,41.91324853717309
KKP,2026,55.1699521187391
KTB,2016,6.37018265863718
KTB,2017,5.6410795163100325
KTB,2018,-0.6896421467374014
KTB,2019,-13.988400654953015
KTB,2020,-26.44001145965378
KTB,2021,17.521447176298576
KTB,2022,30.5309692785626
KTB,2023,9.457892491556642
KTB,2024,39.138154541688095
KTB,2025,34.51807330574943
KTB,2026,56.87120915971844
KTC,2016,64.7945205075104
KTC,2017,36.32140934801769
KTC,2018,29.15767635145279
KTC,2019,36.68290749692258
KTC,2020,78.33846523838027
KTC,2021,-7.771160897678353
KTC,2022,0.02872852053019681
KTC,2023,-21.423535080489874
KTC,2024,17.5305855331664
KTC,2025,-46.730454441853134
KTC,2026,44.0828067550654
LH,2016,20.211180696393072
LH,2017,16.114614973301755
LH,2018,-8.757454214541715
LH,2019,-2.773497948813086
LH,2020,-7.164802743082999
LH,2021,20.701567645022223
LH,2022,6.747278383389865
LH,2023,-12.477965859511919
LH,2024,-29.251924822547725
LH,2025,-11.7874331443232
LH,2026,0.6480661547062283
MINT,2016,6.944431771241932
MINT,2017,27.085408056119654
MINT,2018,-21.946737981687882
MINT,2019,-6.101837458887271
MINT,2020,-14.985556133243472
MINT,2021,15.927406747562634
MINT,2022,5.73769374863522
MINT,2023,-9.884379501000373
MINT,2024,-13.114885510958985
MINT,2025,3.9782333319767993
MINT,2026,5.087440395060661
MRDIYT,2025,1.754378823159053
MRDIYT,2026,19.060080573901296
MTC,2016,21.698731167665386
MTC,2017,37.634691777054826
MTC,2018,15.172708700310444
MTC,2019,34.8982375646826
MTC,2020,-8.634914732227127
MTC,2021,-10.134849548888203
MTC,2022,-31.90259940190854
MTC,2023,23.372795649407152
MTC,2024,13.46776908968419
MTC,2025,-27.597763325148396
MTC,2026,-0.5116813301317635
OR,2021,-7.312882497394346
OR,2022,-1.2667732852497782
OR,2023,-13.078988167870797
OR,2024,-23.285156401512186
OR,2025,18.504122493988895
OR,2026,-2.3779789907113824
OSP,2018,-4.854373470993356
OSP,2019,58.12407279791789
OSP,2020,-17.358623118071204
OSP,2021,-1.2036038743854394
OSP,2022,-9.46231303446412
OSP,2023,-14.50437038325456
OSP,2024,3.505678254984379
OSP,2025,3.720129472884759
OSP,2026,1.0169450610706399
PTT,2016,62.72914031322492
PTT,2017,13.942613512531231
PTT,2018,-3.027521279480472
PTT,2019,-5.122385127587393
PTT,2020,1.5417768014438948
PTT,2021,5.8529512132132755
PTT,2022,-9.801792756432025
PTT,2023,12.697458529687488
PTT,2024,-0.3233638293962504
PTT,2025,8.983824741470237
PTT,2026,18.684285578921322
PTTEP,2016,76.42424712777618
PTTEP,2017,6.529614278348905
PTTEP,2018,-1.1318287455726717
PTTEP,2019,5.807845744056062
PTTEP,2020,-17.392042634806604
