ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport,ticker_ministry,cabinet_no,party_coalition,party_core,party_independent,party_none,budget_yoy_pct
ADVANC,2017,25.50557343860656,-7.006364746347781,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,61,False,False,False,True,-61.81164014604836
ADVANC,2018,-7.02010301412953,25.50557343860656,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,61,False,False,False,True,-14.70106395368489
ADVANC,2019,23.677346365094976,-7.02010301412953,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,61,False,False,False,True,-17.61936301608693
ADVANC,2020,-10.75299277873546,23.677346365094976,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,62,False,True,False,False,25.361252865802307
ADVANC,2021,39.221982397478406,-10.75299277873546,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,62,False,True,False,False,22.33040849624013
ADVANC,2022,-8.185778002411237,39.221982397478406,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,62,False,True,False,False,-17.785053165587726
ADVANC,2023,15.649643960791494,-8.185778002411237,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,62,False,True,False,False,-0.5712621043830302
ADVANC,2024,36.7119219467547,15.649643960791494,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,63,False,True,False,False,27.54329936716551
ADVANC,2025,15.095576761863503,36.7119219467547,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,64,False,True,False,False,10.96848004229889
ADVANC,2026,16.500116274303032,15.095576761863503,0.0169491525423728,0.093,0.0,0.0225988700564971,4.287684219096493e-93,0.0057340642875901,False,False,True,False,False,False,False,False,False,False,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,66,False,True,False,False,6.166737505086184
AOT,2017,66.5428074413482,7.120082838330943,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,61,False,False,False,True,15.641708407360323
AOT,2018,-6.69538780828346,66.5428074413482,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,61,False,False,False,True,7.229234961758357
AOT,2019,9.1470035736128,-6.69538780828346,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,61,False,False,False,True,6.417481472215902
AOT,2020,-11.44816491583972,9.1470035736128,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,62,True,False,False,False,-1.9507209963107286
AOT,2021,2.5209995969313725,-11.44816491583972,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,62,True,False,False,False,7.872756816759874
AOT,2022,17.647063193302515,2.5209995969313725,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,62,True,False,False,False,-8.841090988100241
AOT,2023,-19.04286989147125,17.647063193302515,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,63,False,True,False,False,4.128227369391069
AOT,2024,0.8668244004198078,-19.04286989147125,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,63,False,True,False,False,1.6456171268356856
AOT,2025,-2.611570674301311,0.8668244004198078,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,64,False,True,False,False,5.495772789796249
AOT,2026,27.363184079601982,-2.611570674301311,0.0169491525423728,0.415,0.0,0.0305084745762711,3.688096694739543e-113,0.0260346169019546,False,False,False,False,False,False,False,False,False,True,กระทรวงคมนาคม,66,False,True,False,False,3.4150418465789034
AWC,2020,-14.54657780414632,-3.305795294123759,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.29289708554942
AWC,2021,0.8695665025280075,-14.54657780414632,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.008191488147451
AWC,2022,28.85553619092647,0.8695665025280075,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,-5.672728982174691
AWC,2023,-39.82726620259612,28.85553619092647,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,62,False,False,True,False,3.084742479848268
AWC,2024,-10.522169570918493,-39.82726620259612,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,63,True,False,False,False,8.101655674545682
AWC,2025,-30.54356633879101,-10.522169570918493,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,64,False,True,False,False,-16.263959313842193
AWC,2026,32.47527456702728,-30.54356633879101,0.0169491525423728,0.1,0.0,0.0554699537750385,1.352916384267403e-47,0.0050428340882105,False,False,False,False,False,False,True,False,False,False,กระทรวงมหาดไทย,66,False,True,False,False,1.8236478094894482
BANPU,2017,3.525025238493984,59.31940992997775,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,2.314652336421208
BANPU,2018,-32.70421595239734,3.525025238493984,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,8.190805078415565
BANPU,2019,-24.670478966929377,-32.70421595239734,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,61,False,False,False,True,3.592628163338518
BANPU,2020,16.374028335936707,-24.670478966929377,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,True,False,False,-6.949029121466688
BANPU,2021,24.457512557636065,16.374028335936707,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,6.4514842349212564
BANPU,2022,30.316671217413017,24.457512557636065,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,18.791024566465687
BANPU,2023,-35.080483242377525,30.316671217413017,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,62,False,False,True,False,-0.2751189690922473
BANPU,2024,3.496834109029745,-35.080483242377525,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,63,True,False,False,False,2.754549984514809
BANPU,2025,3.666947969833223,3.496834109029745,0.0169491525423728,0.204,0.0,0.1061164333087693,0.1099692794791996,0.0072715507933145,False,False,False,True,False,False,False,False,False,False,กระทรวงพลังงาน,64,True,False,False,False,2.7250032529895885
