party_role,mean,median,std,count,anova_f,anova_p
core,18.931444949252892,11.9822015563106,73.85188566337878,138,2.573145369317774,0.053561719533848806
coalition,5.760588769686926,-0.4610806118753419,39.656142643587756,106,2.573145369317774,0.053561719533848806
independent,4.014874691730635,6.193040183095345,19.585972847609465,84,2.573145369317774,0.053561719533848806
none,5.702930786984282,-0.1792630545754847,25.857425876364175,115,2.573145369317774,0.053561719533848806
