model,MAE,RMSE,R2
Naive: persistence,31.898196537064337,53.24363606543076,-1.0380709626071423
Naive: ticker mean,25.127489376022822,40.457120953623004,-0.17672190127830656
"Linear (centrality, no lag)",23.88405035023513,36.25402521044845,0.055077144400236255
Random Forest (centrality+ministry+lag),22.482031354032056,34.93305181116179,0.12268219187193674
+ party_role,22.979281609701072,35.329799184894945,0.1026409920898328
+ budget_yoy_pct (real data),22.87313478956458,35.375481683515524,0.1003188671091857
