ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport
ADVANC,2017,25.505573438606557,-7.006364746347781,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2018,-7.02010301412953,25.505573438606557,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2019,23.677346365094976,-7.02010301412953,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2020,-10.75299277873546,23.677346365094976,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2021,39.221982397478406,-10.75299277873546,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2022,-8.185778002411237,39.221982397478406,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2023,15.649643960791494,-8.185778002411237,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2024,36.7119219467547,15.649643960791494,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2025,15.095576761863503,36.7119219467547,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
ADVANC,2026,16.500116274303032,15.095576761863503,0.01694915254237288,0.093,0.0,0.022598870056497175,4.287684219096493e-93,0.0057340642875901866,False,False,True,False,False,False,False,False,False,False
AOT,2017,66.5428074413482,7.120082838330943,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2018,-6.69538780828346,66.5428074413482,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2019,9.1470035736128,-6.69538780828346,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2020,-11.44816491583972,9.1470035736128,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2021,2.5209995969313725,-11.44816491583972,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2022,17.647063193302515,2.5209995969313725,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2023,-19.04286989147125,17.647063193302515,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2024,0.8668244004198078,-19.04286989147125,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2025,-2.611570674301311,0.8668244004198078,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AOT,2026,27.363184079601982,-2.611570674301311,0.01694915254237288,0.415,0.0,0.030508474576271188,3.688096694739543e-113,0.026034616901954695,False,False,False,False,False,False,False,False,False,True
AWC,2020,-14.54657780414632,-3.305795294123759,0.01694915254237288,0.1,0.0,0.05546995377503852,1.352916384267403e-47,0.005042834088210589,False,False,False,False,False,False,True,False,False,False
AWC,2021,0.8695665025280075,-14.54657780414632,0.01694915254237288,0.1,0.0,0.05546995377503852,1.352916384267403e-47,0.005042834088210589,False,False,False,False,False,False,True,False,False,False
AWC,2022,28.85553619092647,0.8695665025280075,0.01694915254237288,0.1,0.0,0.05546995377503852,1.352916384267403e-47,0.005042834088210589,False,False,False,False,False,False,True,False,False,False
AWC,2023,-39.82726620259612,28.85553619092647,0.01694915254237288,0.1,0.0,0.05546995377503852,1.352916384267403e-47,0.005042834088210589,False,False,False,False,False,False,True,False,False,False
